Experiment; Time; X; Y; Z
Complete Physics Engine - Gentle Hilly Terrain - Fast x; 0,00; 0,00; 0,00; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Fast x; 0,10; 0,99; 0,08; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Fast x; 0,20; 1,95; 0,09; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Fast x; 0,30; 2,89; 0,02; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Fast x; 0,40; 2,89; 0,02; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Fast x; 0,50; 3,83; -0,06; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Fast x; 0,60; 4,75; -0,10; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Fast x; 0,70; 5,65; -0,06; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Fast x; 0,80; 6,53; 0,02; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Fast x; 0,90; 7,37; 0,09; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Fast x; 1,00; 8,19; 0,09; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Fast x; 1,10; 9,00; 0,04; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Fast x; 1,20; 9,80; -0,04; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Fast x; 1,30; 9,80; -0,04; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Fast x; 1,40; 10,58; -0,09; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Fast x; 1,50; 11,35; -0,09; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Fast x; 1,60; 12,10; -0,05; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Fast x; 1,70; 12,81; 0,02; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Fast x; 1,80; 13,50; 0,08; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Fast x; 1,90; 14,17; 0,10; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Fast x; 2,00; 14,81; 0,08; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Fast x; 2,10; 15,44; 0,03; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Fast x; 2,20; 16,06; -0,03; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Fast x; 2,30; 16,68; -0,08; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Fast x; 2,40; 17,27; -0,10; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Fast x; 2,50; 17,85; -0,08; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Fast x; 2,60; 18,40; -0,04; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Fast x; 2,70; 18,92; 0,01; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Fast x; 2,80; 19,42; 0,05; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Fast x; 2,90; 19,89; 0,09; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Fast x; 3,00; 20,33; 0,10; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Fast x; 3,10; 20,75; 0,09; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Fast x; 3,20; 21,16; 0,07; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Fast x; 3,30; 21,16; 0,07; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Fast x; 3,40; 21,55; 0,04; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Fast x; 3,50; 21,93; 0,01; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Fast x; 3,60; 22,31; -0,03; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Fast x; 3,70; 22,67; -0,06; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Fast x; 3,80; 23,02; -0,09; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Fast x; 3,90; 23,36; -0,10; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Fast x; 4,00; 23,67; -0,10; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Fast x; 4,10; 23,97; -0,09; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Fast x; 4,20; 24,24; -0,08; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Fast x; 4,30; 24,49; -0,06; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Fast x; 4,40; 24,71; -0,04; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Fast x; 4,50; 24,91; -0,02; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Fast x; 4,60; 25,07; -0,01; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Fast x; 4,70; 25,21; 0,01; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Fast x; 4,80; 25,31; 0,02; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Fast x; 4,90; 25,39; 0,03; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Fast x; 5,00; 25,44; 0,03; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Fast x; 5,10; 25,45; 0,03; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Fast x; 5,20; 25,46; 0,03; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Fast x; 5,30; 25,46; 0,03; 0,00
